City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,283.56,96,100,7.42,AU,1687481846
1,yellowknife,62.456,-114.3525,294.44,32,20,5.66,CA,1687481786
2,puerto ayora,-0.7393,-90.3518,297.9,91,96,3.13,EC,1687481847
3,papatowai,-46.5619,169.4708,284.23,84,100,2.63,NZ,1687481847
4,guymon,36.6828,-101.4816,296.15,73,0,5.14,US,1687481847
5,margaret river,-33.95,115.0667,285.01,63,95,9.63,AU,1687481848
6,stanley,54.868,-1.6985,286.35,89,75,0.0,GB,1687481848
7,keflavik,64.0049,-22.5624,285.39,94,100,11.83,IS,1687481849
8,port elizabeth,-33.918,25.5701,287.31,82,0,7.72,ZA,1687481849
9,longyearbyen,78.2186,15.6401,280.06,87,75,1.54,SJ,1687481611
10,mahina,-17.5065,-149.489,302.02,70,20,2.06,PF,1687481850
11,orapa,-21.2833,25.3667,286.02,66,0,5.04,BW,1687481851
12,thinadhoo,0.5333,72.9333,300.23,79,100,3.88,MV,1687481851
13,ushuaia,-54.8,-68.3,274.96,75,75,2.57,AR,1687481837
14,porbandar,21.6422,69.6093,301.71,77,100,4.46,IN,1687481852
15,uthal,25.8072,66.6219,302.08,73,72,3.25,PK,1687481852
16,nemuro,43.3236,145.575,286.37,86,100,3.47,JP,1687481853
17,rikaze,29.25,88.8833,289.1,20,5,1.13,CN,1687481853
18,ataq,14.5377,46.8319,297.78,59,0,4.51,YE,1687481854
19,tosontsengel,48.7567,98.2839,289.06,63,82,0.63,MN,1687481854
20,tura,25.5198,90.2201,298.03,92,65,1.86,IN,1687481855
21,avarua,-21.2078,-159.775,299.18,94,75,4.12,CK,1687481855
22,bayanaul,50.7889,75.6956,284.89,52,11,2.85,KZ,1687481856
23,st. john's,47.5649,-52.7093,287.81,91,100,2.06,CA,1687481723
24,cabo san lucas,22.8909,-109.9124,304.6,70,0,2.57,MX,1687481566
25,lata,40.1629,-8.3327,290.33,93,0,0.96,PT,1687481857
26,adamstown,-25.066,-130.1015,293.67,57,0,9.36,PN,1687481857
27,puerto natales,-51.7236,-72.4875,275.0,98,100,1.0,CL,1687481858
28,tiksi,71.6872,128.8694,289.38,38,46,7.18,RU,1687481858
29,somerset,40.5668,-74.5496,294.6,78,100,0.45,US,1687481778
30,mangrol,21.1167,70.1167,301.21,82,100,4.73,IN,1687481859
31,port-aux-francais,-49.35,70.2167,280.7,98,100,15.87,TF,1687481859
32,bel ombre,-4.6167,55.4167,299.06,73,20,3.6,SC,1687481860
33,feijo,-8.1642,-70.3536,296.71,88,46,0.73,BR,1687481860
34,west island,-12.1568,96.8225,300.14,83,75,5.66,CC,1687481861
35,hawaiian paradise park,19.5933,-154.9731,301.5,71,0,3.6,US,1687481861
36,fort st. john,56.2499,-120.8529,289.09,77,100,8.75,CA,1687481684
37,invercargill,-46.4,168.35,283.92,78,100,1.9,NZ,1687481697
38,arraial do cabo,-22.9661,-42.0278,293.13,77,0,4.63,BR,1687481863
39,okondja,-0.6549,13.6753,296.13,81,82,1.22,GA,1687481864
40,albany,42.6001,-73.9662,294.5,71,100,1.28,US,1687481864
41,bilibino,68.0546,166.4372,291.94,48,100,1.64,RU,1687481865
42,ca mau,9.1769,105.15,303.41,58,97,3.53,VN,1687481865
43,waitangi,-43.9535,-176.5597,286.38,72,6,4.02,NZ,1687481866
44,papao,-17.75,-149.55,301.97,83,94,10.72,PF,1687481866
45,enewetak,11.3474,162.3373,301.44,78,50,8.62,MH,1687481867
46,grytviken,-54.2811,-36.5092,273.83,86,100,4.47,GS,1687481867
47,fale old settlement,-9.3852,-171.2468,301.19,71,60,3.45,TK,1687481867
48,beloyarskiy,63.7119,66.6722,280.28,79,100,3.5,RU,1687481868
49,vadso,70.0744,29.7487,284.64,81,5,1.54,NO,1687481868
50,thompson,55.7435,-97.8558,290.24,59,75,4.12,CA,1687481869
51,whitehorse,60.7161,-135.0538,299.58,29,40,1.54,CA,1687481869
52,rong'an,26.1247,119.1214,297.4,95,100,1.14,CN,1687481870
53,edinburgh of the seven seas,-37.0676,-12.3116,284.71,62,100,7.76,SH,1687481870
54,puerto deseado,-47.7503,-65.8938,280.68,67,100,3.85,AR,1687481871
55,shimoda,34.6667,138.95,294.35,88,100,3.21,JP,1687481871
56,tezu,27.9167,96.1667,297.82,88,87,0.31,IN,1687481871
57,aasiaat,68.7098,-52.8699,274.45,87,100,2.94,GL,1687481872
58,toamasina,-18.1667,49.3833,291.15,94,20,1.03,MG,1687481873
59,georgetown,5.4112,100.3354,303.11,89,20,1.54,MY,1687481873
60,manaure,11.7751,-72.4445,302.53,69,14,7.94,CO,1687481874
61,bethel,41.3712,-73.414,294.2,76,100,2.06,US,1687481874
62,bayana,26.9,77.2833,304.23,56,93,5.01,IN,1687481875
63,ulety,51.3572,112.4849,292.44,67,100,1.78,RU,1687481875
64,ashdod,31.8167,34.65,296.05,79,0,0.84,IL,1687481876
65,greymouth,-42.4667,171.2,289.11,66,44,2.89,NZ,1687481876
66,susuman,62.7833,148.1667,295.85,42,100,2.15,RU,1687481877
67,ilulissat,69.2167,-51.1,272.91,93,100,1.9,GL,1687481877
68,hamilton,39.1834,-84.5333,294.3,76,100,4.12,US,1687481878
69,weno,7.4515,151.8468,300.12,94,100,2.57,FM,1687481879
70,isafjordur,66.0755,-23.124,283.11,82,100,2.94,IS,1687481879
71,udachny,66.4167,112.4,289.51,72,100,2.51,RU,1687481880
72,newman,37.3138,-121.0208,300.34,37,8,5.81,US,1687481880
73,merowe,18.4833,31.8167,301.59,18,0,4.26,SD,1687481881
74,iqaluit,63.7506,-68.5145,279.0,60,40,8.23,CA,1687481682
75,kodiak,57.79,-152.4072,283.88,87,100,2.06,US,1687481882
76,tinghir,31.5157,-5.5343,300.83,18,0,3.07,MA,1687481719
77,chok chai,14.7284,102.1652,304.42,98,11,3.62,TH,1687481883
78,itaituba,-4.2761,-55.9836,299.7,71,98,1.14,BR,1687481883
79,port alfred,-33.5906,26.891,286.03,84,3,1.34,ZA,1687481883
80,alice springs,-23.7,133.8833,286.9,53,10,25.48,AU,1687481652
81,princeville,45.7668,-61.2985,294.97,69,0,2.06,CA,1687481884
82,namsos,64.4662,11.4957,287.1,72,100,4.12,NO,1687481886
83,klyuchi,52.2667,79.1667,285.95,52,98,3.49,RU,1687481886
84,hermanus,-34.4187,19.2345,285.26,71,0,4.41,ZA,1687481887
85,howrah,22.5892,88.3103,301.15,89,75,2.57,IN,1687481887
86,arti,56.4234,58.5328,280.49,87,93,0.97,RU,1687481888
87,taoudenni,22.6783,-3.9836,309.9,10,5,6.92,ML,1687481888
88,loukhi,66.0764,33.0381,280.48,80,0,2.3,RU,1687481889
89,kimbe,-5.5502,150.1429,304.75,58,92,1.54,PG,1687481889
90,shingu,33.7333,135.9833,297.11,82,99,2.09,JP,1687481890
91,fort bragg,35.139,-79.006,297.47,92,100,2.06,US,1687481890
92,ghatanji,20.1333,78.3167,300.7,72,100,1.87,IN,1687481890
93,neiafu,-18.65,-173.9833,294.13,88,100,2.03,TO,1687481891
94,hithadhoo,-0.6,73.0833,300.21,76,100,3.69,MV,1687481891
95,kostopil',50.8784,26.4519,290.44,95,81,2.32,UA,1687481837
96,nar'yan-mar,67.6713,53.087,279.29,81,98,3.94,RU,1687481892
97,sydney,-33.8679,151.2073,290.01,61,20,6.69,AU,1687481608
98,pacific grove,36.6177,-121.9166,290.97,79,20,7.72,US,1687481893
99,punta arenas,-53.15,-70.9167,277.1,86,100,3.08,CL,1687481657
100,lamu,-2.2717,40.902,299.27,78,80,6.52,KE,1687481894
101,minot air force base,48.4209,-101.3391,296.25,59,20,2.57,US,1687481637
102,afaahiti,-17.75,-149.2833,301.08,83,99,10.03,PF,1687481895
103,manavalakurichi,8.1333,77.3,299.65,81,100,5.69,IN,1687481895
104,kone,-21.0595,164.8658,297.73,46,25,3.19,NC,1687481896
105,labytnangi,66.6572,66.4183,279.06,70,70,3.0,RU,1687481896
106,sisimiut,66.9395,-53.6735,275.26,81,86,4.95,GL,1687481897
107,petauke,-14.2426,31.3253,289.41,62,0,5.16,ZM,1687481897
108,ribeira grande,38.5167,-28.7,294.14,96,100,5.81,PT,1687481897
109,kapa'a,22.0752,-159.319,301.33,71,40,8.23,US,1687481898
110,albu kamal,34.45,40.9186,301.65,28,0,3.14,SY,1687481898
111,chilliwack,49.1747,-121.9443,300.66,49,19,3.13,CA,1687481899
112,kingston,17.997,-76.7936,303.68,77,20,8.75,JM,1687481620
113,oranjemund,-28.55,16.4333,287.54,56,0,3.05,NA,1687481900
